"","time.collected","n","samp.mean.sc","samp.mean.ec","samp.var.sc","samp.var.ec","samp.cov","theo.mean.sc","theo.mean.ec","theo.var.sc","theo.var.ec","theo.cov"
"1",5,100,207.85,188.06,135.704545454545,219.895353535354,-69.2030303030303,207.883292492454,188.908251865514,128.566598741161,309.591558114221,-120.683306248707
"2",10,100,319.53,332.31,511.039494949495,336.660505050505,16.2279797979798,323.240706203827,328.228261992993,259.899076729938,464.886632519104,-136.658370526111
"3",15,100,514.29,554.39,1707.23828282828,916.644343434343,713.491818181818,534.398839412109,544.598740261821,474.532106645251,684.732007494963,-140.133267233141
"4",20,100,589.16,1047.14,2917.08525252525,4766.58626262626,2684.35111111111,615.994841049195,1058.7765419076,844.515974954796,1487.2976758132,-428.5211339056
"5",25,100,457.7,1713.88,2206.89898989899,15390.9147474747,4569.86262626263,479.293966782841,1755.45020603659,1263.39812628541,2739.55436553895,-984.104159502359
"6",30,100,274.14,2261.05,849.111515151515,31989.4621212121,3769.23535353535,287.319604668088,2328.87374122068,1581.68902903488,3823.24316559228,-1494.3694243716
"7",35,100,139.38,2598.17,275.268282828283,44444.3445454545,1746.4498989899,147.289361399608,2680.56628124461,1769.47397463779,4502.75089447461,-1822.18461323
"8",40,100,64.17,2772.3,96.6677777777778,49977.0404040404,744.635353535353,68.6302804621002,2862.86847659828,1864.78907788622,4859.0272740224,-1996.15879742412
"9",45,100,29.21,2849.94,34.0665656565657,52067.3903030303,365.234949494949,30.0896937632228,2948.34016797395,1908.92334323703,5027.17381744778,-2078.83364947383
"10",50,100,12.33,2886.47,12.6475757575758,53282.8576767677,113.348383838384,12.6667355847069,2985.95630509547,1928.19311525862,5101.48268476918,-2115.5263796737
"11",55,99,5.2020202020202,2904.47474747475,5.65264893836322,53314.8641517213,90.7194392908679,5.18360194163619,3001.83114409549,1936.28196337747,5132.92950553153,-2131.09836143604
"12",60,93,2.11827956989247,2912.86021505376,2.38803179055633,53549.2085086489,40.2232351566152,2.07851337884303,3008.3389296322,1939.58545754615,5145.84587380432,-2137.50694417211
"13",65,71,0.690140845070423,2919.05633802817,0.788329979879276,44990.7967806841,40.5605633802817,0.82093720322784,3010.95171083484,1940.9081196185,5151.03889325592,-2140.08718242108
"14",70,39,0.256410256410256,2931.97435897436,0.248313090418354,56671.8677462888,-10.940620782726,0.320532134956649,3011.98464100293,1941.42993805513,5153.09404691492,-2141.10940591198
"15",75,15,0.133333333333333,2887.06666666667,0.123809523809524,63367.2095238095,-7.08095238095238,0.124036214836295,3012.38823848864,1941.63350439737,5153.89770667118,-2141.50946818254
"16",80,9,0,2829.22222222222,0,72754.9444444444,0,0.0476593113917524,3012.54450776773,1941.71222494895,5154.20907340529,-2141.66456563756
