"","p1","p2","p4","c1","c2","c4","m1","m2","m4","r"
"1",0.236751567999697,0.667875094083236,0.102875578275796,0.00677699878115269,0.0136449242443112,0.0271277782341663,6.27857539973006,14.177273144865,16.7072852249254,0.201232413595623
"2",0.304718384905653,0.595496433512742,0.117717029653823,0.011317780494531,0.0138769369452051,0.0115771341673425,9.71439472413172,15.9013340499667,15.724546815695,0.201367281904986
"3",0.259199818013074,0.656584907842247,0.0813065645540862,0.00466074821834676,0.0122441845160663,0.0128017574442408,5.96406138438374,15.080771635151,16.5236440619906,0.207211116674922
"4",0.236992360827852,0.584533555287373,0.14813051548106,0.00566466477437879,0.00790882822817676,0.025261974878389,6.54624905552176,14.9986509160224,16.5682497108718,0.196244342329907
"5",0.231102184478744,0.633686047854387,0.110685327289629,0.00396476473092397,0.0120248889789043,0.00603032511144968,7.01066055777728,15.4230318052253,20.4780861153481,0.195645336089188
"6",0.2815361111039,0.664289177794625,0.0719938421169522,0.00577911731468044,0.0123951410860002,0.00178943114084082,5.31499343406043,15.2187536086456,18.4686304480495,0.201728679065874
"7",0.259940417154307,0.651432519127202,0.112827279055091,0.00629444909654994,0.0107577840982972,0.0198822540015048,5.70009425285571,15.4832135066853,19.9827133371624,0.203292704621594
"8",0.226147822731639,0.639890907393805,0.0891135769020676,0.00413629443178147,0.0102247138741367,0.00405022357642799,10.1844074848057,14.3818263550786,17.462837175412,0.210036361644476
"9",0.243721188442967,0.62808371629488,0.100422652806114,0.0039631418414301,0.0102043165314079,0.0209276159901467,5.32949345219349,15.1984330750228,17.1605498813481,0.195598010762948
"10",0.265527059226265,0.671976098957079,0.107232497331655,0.00372238494365993,0.0142552950266743,0.0121976698113041,1.59659318265475,14.4563683483382,19.6532035352997,0.211143185649692
"11",0.25199100780358,0.646252574976092,0.159379805324934,0.00395572648427364,0.0128104410083154,0.0289838946704856,3.02012048000294,13.5495714418109,21.8069507519599,0.195489255232311
"12",0.269143713159242,0.668248358292473,0.0882004189827097,0.00454345278245453,0.0122731778606587,0.00383743495017987,4.53948533168535,14.7061349041515,22.3358697493353,0.194806285145928
"13",0.247443267853542,0.618605668626327,0.0887409067900129,0.00571233318027797,0.0108522533014659,0.00568413656351003,9.03511913598143,15.4468019957094,21.5318010218272,0.198226659263409
"14",0.256007220312437,0.633149772191338,0.102008631543304,0.00662295602615886,0.0120815520901696,0.014624376520381,9.40653684068689,14.7259672296334,19.2359157520967,0.190977222072707
"15",0.274330987493106,0.641436502925207,0.0974513876750633,0.00800497406905213,0.0122634381768773,0.00809728466908554,5.66401820925045,15.3464616309849,18.2083670075378,0.197005684951801
"16",0.236869686261547,0.633618965303529,0.0974316610597719,0.00566994506380487,0.0123318443643864,0.00629692393756751,7.93199333575865,15.0576849889588,20.1705573925863,0.199743862407571
"17",0.223638828999193,0.641425813518152,0.0943891337437732,0.00380096324801515,0.00848379841462731,0.00844936474765867,5.16319790201403,14.5981474421729,19.3083374841384,0.196538621339409
"18",0.232201436880417,0.589494432210357,0.12612518518308,0.00310557831057578,0.00986280949186835,0.00845700636487419,5.43481537868009,15.1283271282664,16.6216958193858,0.200287242841206
"19",0.218206042919143,0.697551313417559,0.0742921237191015,0.0043997282055572,0.0131303558891058,0.0022621130378822,7.08688587880182,15.7302519650493,18.2682101972665,0.191335415954526
"20",0.251117703496104,0.689552866600783,0.153553932988518,0.0085077007103635,0.0166682475317439,0.0213281760773361,7.31316796580172,14.3565711156314,20.2999121146216,0.195281208196222
"21",0.263983920086847,0.572496694976375,0.140344865324459,0.00462625497312022,0.00887052350948726,0.0158038447513444,7.23335510138905,13.9718439760934,19.7311369951697,0.20638630292197
