Condition,Movie,Cell ID,Generation,R.P,G.P,B.P,Parent MkP,Parent MkP.2,Parent ErP,Parent ErP.2,Parent MEP,Parent MEP.2,Generations Since Blue,Parent Type,First Frame,Last Frame,# of Time Frames,1,2,3,4,5,2Hr Conversion,2Hr Conversion.1,30Min Conversion,30Min Conversion.1,30Min Conversion.2,10Min Conversion,10Min Conversion.1,Sum of Conversions,Sum of Conversions.1,Sum of Conversions.2,Sum of Conversions.3,Sum of Conversions.4,Sum of Conversions.5,Sum of Conversions.6,Hours,First Time,Last Time,Total Time,1st X,1st Y,Last X,Last Y,Diffusion Pixel Distance,Diffusion Micron Distance,Total Pixel Distance,Total Micron Distance,Directionality,Avg Velocity,1 Peak Velocity,1 Peak Frame,1 Peak Time,3 Peak Velocity,3 Peak Frame 1,3 Peak Time 1,3 Peak Frame 2,3 Peak Time 2,3 Peak Frame 3,3 Peak Time 3,R.D1,G.D1,B.D1,Daughter 1 MkP,Daughter 1 MkP.2,Daughter 1 ErP,Daughter 1 ErP.2,Daughter 1 MEP,Daughter 1 MEP.2,Daughter 1 Type,R.D2,G.D2,B.D2,Daughter 2 MkP,Daughter 2 MkP.2,Daughter 2 ErP,Daughter 2 ErP.2,Daughter 2 MEP,Daughter 2 MEP.2,Daughter 2 Type,MEP Expansion,MEP Expansion.2,MEP Maintenance+E,MEP Maintenance+E.1,MEP Maintenance+E.2,MEP Maintenance+E.3,MEP Maintenance+Mk,MEP Maintenance+Mk.1,MEP Maintenance+Mk.2,MEP Maintenance+Mk.3,MEP Maintenance,MEP Exhaustion,MEP Exhaustion.1,MEP Exhaustion.2,MEP Exhaustion.3,ErP Expansion,ErP Expansion.2,MkP Expansion,Division Outcome,Division Outcome.6
Cntrl MEP,04192017_sp1,Sheet388,9,1,0,0,0,,ErP,ErP,0,,3,ErP,238,281,44,44,254,-210,-18,62,88,-420,127,22,31,11,-4.5,0,0,0,22,0,0,0,22,181.5,203,21.5,690,397,684.5821918,396.0479452,5.50082305,61.60921816,137.8337014,1543.737455,25.05692332,70.16988432,20.72764055,244,0.5,12.11646492,244,0.5,260,0.5,261,0.5,1,0,0,0,,ErP,ErP,0,,ErP,1,0,0,0,,ErP,ErP,0,,ErP,0,,0,0,0,,0,0,0,,0,0,0,,1,ErP Expansion,0,,ErP Expansion,
Cntrl MEP,04192017_sp1,Sheet389,10,1,0,0,0,,ErP,ErP,0,,4,ErP,282,291,10,10,264,-254,-8,18,20,-508,132,5,9,2.5,-2,0,0,0,5,0,0,0,5,203.5,208,4.5,686.3333333,390.1412429,686.163522,383,7.143261621,80.00453015,25.36130532,284.0466196,3.550381698,56.80932391,5.40247622,290,0.5,3.691733962,290,0.5,288,0.5,289,0.5,0,0,0,0,,0,,0,,,0,0,0,0,,0,,0,,,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,,,
Cntrl MEP,04192017_sp1,Sheet390,10,1,0,0,0,,ErP,ErP,0,,4,ErP,282,291,10,10,264,-254,-8,18,20,-508,132,5,9,2.5,-2,0,0,0,5,0,0,0,5,203.5,208,4.5,684.6538462,405,685.1565217,403,2.062203371,23.09667776,22.07893601,247.2840833,10.70647848,49.45681666,3.476401677,291,0.5,3.150226322,291,0.5,285,0.5,289,0.5,0,0,0,0,,0,,0,,,0,0,0,0,,0,,0,,,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,,,
Cntrl MEP,04192017_sp1,Sheet391,9,1,0,0,0,,ErP,ErP,0,,3,ErP,238,258,21,21,231,-210,-41,62,42,-420,115.5,10.5,31,5.25,-10.25,0,0,0,10.5,0,0,0,10.5,181.5,191.5,10,707.6079545,400.5170455,706.2655738,402.347541,2.269955953,25.42350667,57.15401685,640.1249887,25.17846956,60.96428464,5.388869864,252,0.5,4.767383724,252,0.5,244,0.5,246,0.5,1,0,0,0,,ErP,ErP,0,,ErP,1,0,0,0,,ErP,ErP,0,,ErP,0,,0,0,0,,0,0,0,,0,0,0,,1,ErP Expansion,0,,ErP Expansion,
Cntrl MEP,04192017_sp1,Sheet392,10,1,0,0,0,,ErP,ErP,0,,4,ErP,259,291,33,33,264,-231,-8,41,66,-462,132,16.5,20.5,8.25,-2,0,0,0,16.5,0,0,0,16.5,192,208,16,705.7428571,397.6,701.8079096,392.7344633,6.257576187,70.08485329,78.90392732,883.723986,12.60934345,53.55902946,5.669009689,265,0.5,4.839204869,265,0.5,264,0.5,285,0.5,0,0,0,0,,0,,0,,,0,0,0,0,,0,,0,,,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,,,
Cntrl MEP,04192017_sp1,Sheet393,10,1,0,0,0,,ErP,ErP,0,,4,ErP,259,275,17,17,248,-231,-24,41,34,-462,124,8.5,20.5,4.25,-6,0,0,0,8.5,0,0,0,8.5,192,200,8,700.1505376,411,702.0841751,412.8316498,2.66343667,29.8304907,29.26593587,327.7784818,10.9880352,38.56217433,6.502296796,275,0.5,3.999960244,275,0.5,270,0.5,262,0.5,1,0,0,0,,ErP,ErP,0,,ErP,1,0,0,0,,ErP,ErP,0,,ErP,0,,0,0,0,,0,0,0,,0,0,0,,1,ErP Expansion,0,,ErP Expansion,
Cntrl MEP,04192017_sp1,Sheet394,11,1,0,0,0,,ErP,ErP,0,,5,ErP,276,291,16,16,264,-248,-8,24,32,-496,132,8,12,4,-2,0,0,0,8,0,0,0,8,200.5,208,7.5,703.6878049,408.395122,709.0880503,410,5.633674141,63.09715038,42.27779699,473.5113263,7.504480369,59.18891579,4.253851657,287,0.5,3.938929783,287,0.5,286,0.5,288,0.5,0,0,0,0,,0,,0,,,0,0,0,0,,0,,0,,,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,,,
Cntrl MEP,04192017_sp1,Sheet395,11,1,0,0,0,,ErP,ErP,0,,5,ErP,276,291,16,16,264,-248,-8,24,32,-496,132,8,12,4,-2,0,0,0,8,0,0,0,8,200.5,208,7.5,694,421,695.1346154,414.5,6.598284025,73.90078108,28.22585245,316.1295474,4.277756511,39.51619342,3.319707187,279,0.5,3.005623672,279,0.5,280,0.5,283,0.5,0,0,0,0,,0,,0,,,0,0,0,0,,0,,0,,,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,,,
Cntrl MEP,04192017_sp1,Sheet396,6,1,0,0,0,,ErP,ErP,0,,1,ErP,156,193,38,38,166,-128,-106,144,76,-256,83,19,72,9.5,-26.5,0,0,0,19,0,0,0,19,140.5,159,18.5,693.1276596,479,683.6891892,446.3614865,33.97583388,380.5293394,102.8181464,1151.563239,3.026214065,60.60859154,31.13887276,165,0.5,13.7780367,165,0.5,164,0.5,162,0.5,1,0,0,0,,ErP,ErP,0,,ErP,1,0,0,0,,ErP,ErP,0,,ErP,0,,0,0,0,,0,0,0,,0,0,0,,1,ErP Expansion,0,,ErP Expansion,
Cntrl MEP,04192017_sp1,Sheet397,7,1,0,0,0,,ErP,ErP,0,,2,ErP,194,273,80,80,246,-166,-26,106,160,-332,123,40,53,20,-6.5,0,0,0,40,0,0,0,40,159.5,199,39.5,683.1189427,445.0132159,679.4550562,443.8623596,3.84038213,43.01227986,214.1372901,2398.337649,55.75937052,59.95844123,7.321101504,219,0.5,6.986960182,219,0.5,228,0.5,252,0.5,1,0,0,0,,ErP,ErP,0,,ErP,1,0,0,0,,ErP,ErP,0,,ErP,0,,0,0,0,,0,0,0,,0,0,0,,1,ErP Expansion,0,,ErP Expansion,
